model,alpha,round,acc_10k,acc_50k
SqueezeNet,IID,1,11.75,12.86
SqueezeNet,IID,2,34.00,57.19
SqueezeNet,IID,3,43.25,63.79
SqueezeNet,IID,4,46.60,68.87
SqueezeNet,IID,5,48.30,72.21
SqueezeNet,IID,6,52.10,73.28
SqueezeNet,IID,7,54.20,74.97
SqueezeNet,IID,8,55.95,76.63
SqueezeNet,IID,9,57.95,77.19
SqueezeNet,IID,10,58.40,78.00
SqueezeNet,IID,11,59.35,78.32
SqueezeNet,IID,12,60.45,78.36
SqueezeNet,IID,13,59.80,79.27
SqueezeNet,IID,14,61.95,79.75
SqueezeNet,IID,15,62.35,79.75
SqueezeNet,IID,16,,80.33
SqueezeNet,IID,17,,79.94
SqueezeNet,IID,18,,80.30
SqueezeNet,IID,19,,79.25
SqueezeNet,IID,20,,79.26
SqueezeNet,α=1.0,1,22.90,11.14
SqueezeNet,α=1.0,2,37.80,44.32
SqueezeNet,α=1.0,3,43.05,53.62
SqueezeNet,α=1.0,4,47.35,60.68
SqueezeNet,α=1.0,5,49.30,62.55
SqueezeNet,α=1.0,6,54.20,65.70
SqueezeNet,α=1.0,7,53.15,68.79
SqueezeNet,α=1.0,8,56.35,70.65
SqueezeNet,α=1.0,9,55.75,71.41
SqueezeNet,α=1.0,10,56.70,74.40
SqueezeNet,α=1.0,11,58.75,73.78
SqueezeNet,α=1.0,12,59.50,72.53
SqueezeNet,α=1.0,13,58.15,73.60
SqueezeNet,α=1.0,14,57.95,76.21
SqueezeNet,α=1.0,15,60.25,74.10
SqueezeNet,α=1.0,16,,74.55
SqueezeNet,α=1.0,17,,75.59
SqueezeNet,α=1.0,18,,76.84
SqueezeNet,α=1.0,19,,75.61
SqueezeNet,α=1.0,20,,76.31
SqueezeNet,α=0.3,1,13.25,13.82
SqueezeNet,α=0.3,2,20.85,44.94
SqueezeNet,α=0.3,3,22.45,51.29
SqueezeNet,α=0.3,4,26.75,54.49
SqueezeNet,α=0.3,5,29.45,60.94
