model,alpha,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
SqueezeNet,IID,12.9,57.2,63.8,68.9,72.2,73.3,75.0,76.6,77.2,78.0,78.3,78.4,79.3,79.8,79.8,80.3,79.9,80.3,79.2,79.3
SqueezeNet,α=1.0,11.1,44.3,53.6,60.7,62.5,65.7,68.8,70.7,71.4,74.4,73.8,72.5,73.6,76.2,74.1,74.6,75.6,76.8,75.6,76.3
SqueezeNet,α=0.3,13.8,44.9,51.3,54.5,60.9,65.1,66.2,68.9,67.2,71.6,71.4,72.4,72.9,72.2,72.8,74.1,72.7,73.9,75.5,73.6
SqueezeNet,α=0.1,10.9,28.2,41.2,45.6,52.9,57.7,59.2,62.2,62.9,62.4,62.4,64.3,64.9,63.7,66.1,67.7,66.8,67.8,67.3,66.5
MobileNetV3,IID,10.0,52.0,71.7,75.8,77.1,77.0,77.3,77.9,78.1,77.5,78.1,78.4,78.7,78.4,78.5,78.3,78.5,78.4,,
MobileNetV3,α=1.0,10.0,48.9,66.2,69.5,70.0,70.8,71.8,72.1,75.1,74.5,74.8,74.1,75.4,74.3,76.3,75.0,74.8,75.2,75.2,75.8
MobileNetV3,α=0.3,10.0,56.5,65.2,65.3,67.5,69.1,66.0,69.3,70.8,72.2,71.4,73.0,71.1,70.6,66.6,72.3,73.4,72.9,68.7,71.1
MobileNetV3,α=0.1,10.0,51.7,52.0,59.0,59.5,59.0,63.0,63.9,65.4,66.0,66.5,64.2,66.9,66.5,66.8,67.5,66.6,67.6,66.7,67.5
ResNet18,IID,10.1,74.6,80.1,82.1,82.6,83.6,83.5,83.9,84.2,84.0,83.9,84.2,84.4,84.6,84.5,84.3,85.0,84.1,84.4,85.0
ResNet18,α=1.0,14.2,60.0,74.3,77.6,80.2,81.6,81.2,82.5,83.1,82.4,83.5,83.6,83.1,82.9,83.5,83.0,,,,
ResNet18,α=0.3,10.4,56.3,71.5,74.6,75.9,79.7,80.0,80.8,80.3,81.3,81.8,81.0,81.0,82.9,82.1,82.1,81.9,82.5,82.8,
ResNet18,α=0.1,10.0,49.8,58.3,67.3,71.8,74.6,75.0,75.7,76.8,77.1,77.4,76.1,78.2,79.9,77.4,77.7,78.1,79.7,78.5,
